student_id,gender,parental_education,internet_access,extracurricular,study_hours,attendance_pct,previous_exam_marks,assignment_marks,internal_marks,practice_test_score,sleep_hours,commute_minutes,final_exam_marks
S0890,Male,Master,Yes,No,5.0,59.1,30.0,67.0,57.0,46.0,4.8,25.0,46.8
S0589,Female,High School,Yes,Yes,7.0,79.7,68.0,64.0,61.0,62.0,8.4,13.0,70.2
S0731,Female,High School,Yes,No,2.4,76.5,71.0,89.0,76.0,60.0,10.0,32.0,67.8
S0078,Female,Master,Yes,No,3.3,82.3,62.0,63.0,65.0,63.0,8.5,21.0,62.2
S0085,Female,High School,No,No,6.0,70.4,43.0,61.0,39.0,26.0,4.6,31.0,47.7
S0306,Female,High School,Yes,No,2.6,78.8,67.0,74.0,62.0,78.0,7.2,41.0,69.7
S0083,Female,Bachelor,No,Yes,3.2,72.6,60.0,69.0,56.0,56.0,6.0,33.0,49.1
S0449,Male,High School,Yes,Yes,3.7,,77.0,84.0,67.0,86.0,5.6,31.0,72.0
S0998,Female,Bachelor,Yes,No,7.1,91.8,65.0,88.0,56.0,69.0,6.4,48.0,78.2
S0752,Female,Master,Yes,No,4.6,61.0,59.0,72.0,70.0,69.0,7.4,39.0,60.4
S0532,Male,Bachelor,Yes,Yes,4.8,89.6,54.0,85.0,56.0,59.0,5.4,50.0,63.1
S0324,Male,High School,Yes,No,9.2,75.9,72.0,,77.0,58.0,9.0,43.0,73.4
S0496,Male,High School,Yes,No,8.1,83.7,65.0,76.0,71.0,67.0,7.4,28.0,64.0
S0911,Female,Bachelor,Yes,No,4.8,,62.0,65.0,59.0,51.0,7.0,9.0,58.3
S0006,Male,Master,Yes,No,3.1,68.2,58.0,73.0,60.0,42.0,6.0,38.0,55.1
S0426,Male,Bachelor,Yes,Yes,1.8,85.2,54.0,70.0,52.0,44.0,7.1,45.0,55.9
S0491,Female,Bachelor,Yes,No,7.5,100.0,66.0,88.0,78.0,90.0,7.3,16.0,68.8
S0098,Female,Bachelor,No,No,2.8,73.0,64.0,70.0,54.0,55.0,7.1,23.0,56.5
S0762,Female,Bachelor,Yes,Yes,6.2,71.2,78.0,79.0,59.0,64.0,5.6,18.0,69.0
S0423,Female,High School,Yes,No,1.0,146.3,50.0,50.0,55.0,62.0,6.7,34.0,48.3
S0886,Female,High School,No,Yes,6.7,80.9,59.0,77.0,62.0,76.0,4.0,29.0,64.9
S0282,Female,Master,Yes,Yes,5.8,74.7,49.0,74.0,59.0,35.0,8.2,65.0,59.5
S0267,Male,Bachelor,Yes,Yes,4.9,77.2,63.0,83.0,63.0,72.0,7.1,30.0,65.9
S0443,Female,PhD,Yes,Yes,2.9,82.0,68.0,67.0,71.0,61.0,8.0,60.0,67.3
S0746,Male,Bachelor,Yes,Yes,10.0,77.7,77.0,69.0,71.0,69.0,7.1,22.0,80.9
S0383,Male,Bachelor,No,No,3.6,79.9,41.0,68.0,55.0,49.0,9.6,72.0,53.6
S0693,Male,High School,Yes,Yes,5.6,82.4,77.0,68.0,75.0,78.0,6.1,38.0,71.1
S0894,Male,Bachelor,No,Yes,5.1,82.7,75.0,65.0,82.0,72.0,7.2,38.0,70.2
S0535,Female,Bachelor,Yes,Yes,4.0,83.2,51.0,51.0,60.0,46.0,8.0,35.0,54.2
S0119,Male,High School,Yes,Yes,4.6,79.0,74.0,84.0,91.0,72.0,5.4,41.0,69.2
S0389,Male,Bachelor,Yes,No,2.5,84.5,63.0,86.0,54.0,55.0,6.5,36.0,53.7
S0251,Male,Master,Yes,No,4.9,95.2,51.0,73.0,67.0,58.0,9.4,29.0,65.2
S0944,Female,Bachelor,No,No,6.1,80.1,76.0,76.0,81.0,92.0,6.6,16.0,79.6
S0454,Male,PhD,Yes,No,7.5,97.4,84.0,71.0,85.0,85.0,6.7,49.0,87.4
S0010,Male,Bachelor,Yes,Yes,5.0,,61.0,56.0,49.0,53.0,7.7,37.0,54.5
S0197,Female,High School,Yes,No,7.1,43.7,70.0,57.0,60.0,69.0,6.8,27.0,68.2
S0619,Female,Master,Yes,No,6.5,75.5,66.0,76.0,53.0,61.0,7.3,32.0,70.6
S0082,Male,High School,Yes,Yes,7.0,62.8,61.0,69.0,56.0,71.0,7.6,22.0,62.5
S0399,Male,Master,No,Yes,1.6,77.8,61.0,69.0,74.0,63.0,6.3,43.0,59.7
S0502,Female,PhD,Yes,Yes,9.2,82.3,75.0,84.0,63.0,68.0,6.1,21.0,79.7
S0635,Male,Bachelor,Yes,No,5.5,81.6,65.0,62.0,69.0,65.0,7.5,47.0,66.0
S0240,Female,Bachelor,Yes,No,0.5,72.4,59.0,69.0,66.0,47.0,6.2,26.0,46.9
S0310,Female,High School,Yes,No,5.8,95.6,73.0,74.0,81.0,94.0,6.7,54.0,70.9
S0212,Male,Bachelor,Yes,Yes,39.3,79.6,48.0,49.0,49.0,45.0,6.0,18.0,58.2
S0835,Female,Bachelor,Yes,Yes,4.2,65.9,60.0,68.0,46.0,53.0,8.0,35.0,53.0
S0381,Female,High School,Yes,Yes,4.3,84.7,63.0,61.0,80.0,49.0,6.3,24.0,65.7
S0602,Female,High School,No,No,7.0,90.1,60.0,72.0,71.0,62.0,,37.0,70.7
S0228,Male,High School,Yes,Yes,5.3,89.5,91.0,82.0,84.0,76.0,7.6,33.0,76.1
S0874,Male,High School,,No,8.1,89.2,65.0,56.0,59.0,59.0,5.5,32.0,63.6
S0360,Male,High School,No,No,1.4,89.4,69.0,65.0,50.0,65.0,7.9,21.0,54.0
S0814,Male,High School,Yes,No,6.7,91.4,52.0,69.0,60.0,68.0,6.4,27.0,63.1
S0178,Male,PhD,Yes,No,2.8,82.9,71.0,89.0,63.0,78.0,7.5,39.0,64.4
S0995,Female,Bachelor,Yes,No,3.7,,54.0,75.0,79.0,52.0,7.6,33.0,68.4
S0757,Male,Bachelor,Yes,Yes,4.3,76.0,61.0,54.0,52.0,43.0,6.3,15.0,58.6
S0494,Male,Bachelor,Yes,No,2.5,70.9,69.0,69.0,58.0,74.0,,28.0,60.2
S0335,Male,Master,Yes,No,5.8,81.4,61.0,70.0,66.0,51.0,6.4,9.0,65.9
S0893,Female,Bachelor,,Yes,3.0,73.4,67.0,74.0,57.0,69.0,9.1,40.0,65.7
S0008,Male,Bachelor,Yes,No,2.0,81.3,67.0,61.0,69.0,68.0,5.8,42.0,57.0
S0156,Female,Master,No,Yes,7.4,83.8,89.0,88.0,83.0,88.0,6.0,4.0,80.7
S0843,Male,Bachelor,No,Yes,7.6,100.0,86.0,87.0,81.0,88.0,6.3,49.0,94.4
S0751,Female,High School,Yes,Yes,4.8,87.7,67.0,54.0,60.0,61.0,6.0,8.0,61.0
S0942,Female,High School,No,No,5.6,80.4,64.0,77.0,69.0,58.0,5.4,38.0,65.5
S0483,Male,High School,Yes,No,2.9,79.1,81.0,54.0,69.0,67.0,7.7,25.0,61.9
S0847,Female,High School,,Yes,6.6,100.0,95.0,86.0,82.0,84.0,8.0,16.0,73.2
S0750,Female,High School,Yes,No,2.9,75.9,55.0,67.0,44.0,49.0,6.6,2.0,47.7
S0904,Female,Bachelor,Yes,Yes,8.5,73.4,80.0,92.0,84.0,78.0,6.7,41.0,89.1
S0592,Female,High School,Yes,No,4.4,79.9,63.0,79.0,83.0,64.0,6.0,41.0,61.9
S0953,Male,Master,Yes,Yes,6.1,71.8,67.0,65.0,69.0,83.0,7.5,22.0,69.4
S0581,Female,Master,Yes,Yes,0.5,74.3,37.0,39.0,36.0,39.0,8.2,34.0,42.1
S0440,Male,High School,Yes,Yes,3.0,83.7,69.0,83.0,79.0,59.0,6.4,37.0,64.3
S0543,Male,High School,Yes,No,0.5,80.8,65.0,78.0,57.0,45.0,8.8,46.0,44.5
S0597,Male,Master,No,No,4.2,71.6,61.0,76.0,54.0,43.0,6.4,72.0,60.1
S0724,Female,High School,Yes,No,5.1,88.4,63.0,65.0,56.0,50.0,5.1,2.0,62.6
S0678,Female,Master,Yes,Yes,,93.8,73.0,48.0,69.0,62.0,7.9,51.0,63.2
S0479,Male,Bachelor,,Yes,4.8,92.3,81.0,45.0,49.0,60.0,4.6,26.0,60.7
S0229,Male,High School,Yes,Yes,2.4,77.3,44.0,67.0,63.0,65.0,7.4,29.0,53.3
S0975,Male,Bachelor,Yes,Yes,6.5,82.5,53.0,71.0,42.0,50.0,6.9,29.0,55.7
S0815,Male,High School,Yes,No,4.8,88.2,62.0,62.0,55.0,35.0,4.4,48.0,59.8
S0213,Male,Bachelor,Yes,No,5.0,95.9,58.0,62.0,50.0,67.0,7.2,2.0,62.6
S0080,Female,Master,Yes,No,4.2,82.1,57.0,78.0,52.0,62.0,6.3,35.0,67.7
S0149,Male,High School,Yes,No,,94.6,79.0,76.0,86.0,84.0,7.1,30.0,84.9
S0303,Male,Bachelor,Yes,Yes,1.2,84.7,64.0,65.0,70.0,70.0,9.8,29.0,56.3
S0356,Female,High School,Yes,Yes,2.5,,55.0,69.0,79.0,66.0,6.5,4.0,66.5
S0430,Female,Bachelor,Yes,Yes,2.1,92.8,69.0,61.0,79.0,67.0,7.2,5.0,62.4
S0520,Male,High School,Yes,No,8.6,67.7,93.0,65.0,87.0,75.0,8.0,18.0,80.4
S0363,Male,High School,Yes,Yes,5.6,95.1,70.0,72.0,75.0,55.0,7.1,23.0,69.9
S0595,Male,High School,,No,0.5,78.1,63.0,,45.0,46.0,6.5,43.0,41.2
S0358,Male,Bachelor,Yes,No,9.2,74.8,58.0,68.0,55.0,73.0,6.6,38.0,71.0
S0134,Male,High School,Yes,Yes,5.8,71.9,72.0,64.0,53.0,49.0,4.2,25.0,55.1
S0830,Male,Bachelor,Yes,No,3.9,61.6,39.0,38.0,47.0,25.0,,38.0,37.6
S0312,Male,High School,Yes,No,5.1,87.4,64.0,52.0,55.0,55.0,,32.0,67.0
S0622,Female,High School,Yes,No,7.2,69.4,69.0,72.0,57.0,52.0,7.2,69.0,60.9
S0465,Female,Bachelor,Yes,Yes,3.9,72.5,48.0,56.0,65.0,70.0,8.3,26.0,59.3
S0994,Male,,No,Yes,7.5,86.1,80.0,77.0,65.0,64.0,7.3,33.0,78.9
S0001,Male,Bachelor,Yes,No,1.9,84.4,69.0,85.0,68.0,56.0,,35.0,60.6
S0317,Female,Master,,Yes,2.6,66.8,70.0,77.0,67.0,55.0,5.4,6.0,60.2
S0723,Female,Master,Yes,No,5.9,66.8,43.0,67.0,49.0,48.0,7.5,23.0,56.1
S0560,Male,Master,Yes,Yes,1.2,56.4,52.0,66.0,63.0,58.0,7.8,28.0,53.4
S0372,Male,Bachelor,No,No,6.0,93.0,77.0,77.0,73.0,77.0,,20.0,70.8
S0545,Male,High School,,No,3.6,78.8,49.0,67.0,75.0,53.0,8.2,18.0,62.9
S0850,Male,High School,Yes,No,2.7,89.9,68.0,80.0,62.0,68.0,,27.0,60.2
S0395,Male,Bachelor,Yes,No,4.3,88.1,80.0,74.0,61.0,96.0,6.3,12.0,75.6
S0173,Male,Bachelor,Yes,No,5.8,81.1,62.0,67.0,60.0,59.0,6.6,20.0,67.1
S0126,Female,High School,No,Yes,6.0,84.0,73.0,70.0,64.0,59.0,8.1,47.0,66.5
S0899,Female,High School,Yes,Yes,6.5,84.6,78.0,82.0,69.0,65.0,6.2,44.0,68.7
S0579,Female,Bachelor,Yes,No,5.4,82.4,61.0,,49.0,67.0,7.4,47.0,58.7
S0949,Female,High School,Yes,Yes,7.3,81.4,67.0,92.0,69.0,53.0,8.8,27.0,83.5
S0921,Male,Bachelor,Yes,Yes,5.3,71.1,61.0,65.0,65.0,43.0,9.3,26.0,60.2
S0091,Female,Bachelor,Yes,No,6.2,89.1,77.0,78.0,62.0,65.0,8.6,24.0,80.2
S0971,Male,High School,Yes,Yes,6.2,70.0,73.0,80.0,69.0,50.0,8.3,40.0,62.1
S0182,Female,High School,Yes,No,4.3,74.9,67.0,83.0,62.0,71.0,8.6,58.0,62.6
S0364,Male,High School,Yes,Yes,6.4,65.8,55.0,75.0,57.0,52.0,9.2,10.0,64.8
S0275,Female,High School,Yes,No,7.4,89.9,81.0,75.0,73.0,79.0,6.4,6.0,84.1
S0913,Female,Bachelor,Yes,No,1.4,75.5,71.0,67.0,63.0,54.0,7.1,9.0,51.1
S0070,Male,High School,Yes,No,1.9,,72.0,78.0,63.0,42.0,7.6,31.0,60.1
S0292,Female,Bachelor,Yes,Yes,5.0,80.9,62.0,76.0,68.0,45.0,7.5,20.0,71.3
S0132,Male,Master,No,Yes,4.5,77.1,54.0,54.0,49.0,61.0,6.1,26.0,60.6
S0301,Male,High School,Yes,Yes,5.8,88.9,82.0,79.0,78.0,78.0,3.3,26.0,67.4
S0448,Female,,Yes,No,5.8,89.9,62.0,60.0,58.0,51.0,7.5,25.0,71.6
S0327,Female,PhD,Yes,Yes,5.5,70.4,41.0,63.0,61.0,63.0,8.3,12.0,57.1
S0145,Male,Bachelor,Yes,Yes,5.1,75.2,56.0,63.0,61.0,61.0,6.5,33.0,62.9
S0552,Male,,Yes,No,2.0,80.9,67.0,73.0,51.0,58.0,6.8,11.0,63.3
S0596,Female,High School,Yes,No,4.4,78.7,70.0,77.0,65.0,56.0,8.7,25.0,61.1
S0656,Female,High School,Yes,Yes,3.3,88.6,63.0,82.0,62.0,77.0,6.2,41.0,61.2
S0136,Female,High School,Yes,Yes,0.5,87.0,63.0,57.0,57.0,34.0,6.8,33.0,44.1
S0431,Female,High School,Yes,Yes,5.4,85.6,46.0,53.0,59.0,36.0,7.2,36.0,51.4
S0165,Female,Bachelor,No,Yes,7.4,87.1,70.0,62.0,69.0,69.0,6.0,13.0,62.5
S0029,Female,Master,Yes,Yes,5.8,90.2,75.0,72.0,70.0,80.0,8.6,16.0,74.3
S0588,Male,High School,Yes,No,1.9,85.4,51.0,81.0,52.0,44.0,8.4,29.0,53.0
S0194,Female,High School,Yes,No,9.8,82.9,75.0,70.0,67.0,74.0,5.2,46.0,83.7
S0791,Male,PhD,No,No,0.5,73.4,57.0,59.0,58.0,55.0,8.5,46.0,57.4
S0653,Male,Bachelor,No,Yes,5.9,78.4,88.0,68.0,92.0,78.0,5.5,11.0,83.7
S0170,Female,Bachelor,Yes,Yes,6.5,95.0,71.0,72.0,67.0,61.0,8.3,32.0,81.0
S0514,Female,High School,No,Yes,4.6,90.6,65.0,68.0,56.0,64.0,5.3,31.0,58.2
S0141,Female,PhD,Yes,No,8.6,79.0,78.0,79.0,71.0,48.0,6.1,37.0,77.5
S0174,Male,Master,Yes,Yes,3.8,73.1,58.0,57.0,63.0,60.0,6.9,21.0,58.6
S0007,Male,High School,Yes,No,6.7,80.0,74.0,72.0,56.0,60.0,6.2,28.0,65.1
S0657,Male,Bachelor,Yes,No,2.8,82.1,52.0,71.0,52.0,54.0,6.1,24.0,56.9
S0965,Male,Bachelor,No,No,6.2,77.5,65.0,66.0,65.0,57.0,7.1,17.0,59.6
S0074,Female,Bachelor,Yes,Yes,4.0,83.2,71.0,75.0,59.0,66.0,7.8,36.0,66.6
S0765,Male,Bachelor,Yes,No,7.1,80.5,77.0,66.0,64.0,70.0,6.3,27.0,67.5
S0654,Male,High School,Yes,Yes,5.5,64.8,60.0,61.0,52.0,47.0,7.3,23.0,51.9
S0239,Male,Master,Yes,No,2.6,79.4,48.0,85.0,56.0,62.0,8.3,25.0,56.9
S0146,Male,Bachelor,Yes,No,2.9,81.6,65.0,66.0,46.0,64.0,8.5,38.0,65.9
S0809,Female,High School,Yes,Yes,4.4,73.6,60.0,70.0,63.0,66.0,7.2,38.0,56.2
S0235,Female,Master,No,No,,75.5,56.0,76.0,37.0,58.0,7.0,24.0,68.0
S0221,Male,Bachelor,Yes,Yes,6.8,66.0,59.0,53.0,74.0,75.0,8.0,38.0,64.4
S0501,Female,Master,Yes,Yes,4.3,80.6,84.0,62.0,64.0,80.0,,20.0,70.6
S0674,Female,High School,Yes,Yes,4.0,76.2,51.0,62.0,47.0,53.0,7.7,30.0,56.9
S0133,Male,High School,Yes,Yes,5.1,71.3,68.0,,71.0,68.0,8.0,12.0,67.5
S0812,Male,Master,Yes,No,6.1,72.7,62.0,71.0,44.0,56.0,7.1,30.0,59.5
S0434,Male,Bachelor,Yes,Yes,1.8,65.4,45.0,47.0,66.0,51.0,9.5,39.0,59.3
S0671,Male,Bachelor,Yes,No,8.8,77.5,64.0,,74.0,60.0,6.8,29.0,64.4
S0186,Female,High School,Yes,No,0.6,86.7,81.0,92.0,75.0,81.0,5.5,46.0,71.3
S0042,Female,Master,Yes,No,9.0,87.0,72.0,67.0,71.0,68.0,8.4,26.0,79.6
S0626,Male,Bachelor,No,No,,72.5,78.0,60.0,76.0,50.0,7.2,44.0,63.1
S0109,Female,High School,No,Yes,7.1,73.3,71.0,73.0,73.0,73.0,6.2,52.0,69.7
S0604,Male,Master,Yes,No,6.5,74.1,56.0,75.0,65.0,50.0,6.1,2.0,64.4
S0057,Male,High School,No,Yes,2.7,72.3,62.0,78.0,59.0,51.0,8.4,35.0,50.8
S0429,Male,High School,Yes,Yes,3.4,84.9,55.0,72.0,43.0,51.0,7.4,33.0,55.5
S0469,Female,Bachelor,Yes,Yes,5.0,89.6,66.0,97.0,66.0,67.0,6.1,18.0,68.9
S0577,Female,Bachelor,,No,6.9,73.9,67.0,70.0,70.0,60.0,6.5,44.0,68.8
S0878,Male,Bachelor,Yes,No,7.5,90.3,58.0,64.0,59.0,47.0,5.7,24.0,68.1
S0025,Male,Master,Yes,No,9.6,83.0,56.0,71.0,63.0,64.0,6.4,26.0,68.9
S0441,Male,High School,Yes,Yes,5.2,100.0,71.0,67.0,74.0,62.0,5.4,24.0,77.1
S0883,Female,Bachelor,Yes,Yes,3.8,79.4,55.0,55.0,53.0,62.0,,20.0,57.8
S0544,Female,High School,Yes,Yes,4.0,90.8,73.0,85.0,54.0,59.0,9.0,31.0,61.4
S0634,Female,,Yes,No,2.9,85.1,57.0,62.0,43.0,36.0,6.0,16.0,46.3
S0831,Female,Bachelor,Yes,Yes,7.1,86.3,77.0,75.0,68.0,71.0,7.3,30.0,74.4
S0945,Male,PhD,Yes,No,7.0,82.7,63.0,81.0,69.0,70.0,4.4,44.0,63.3
S0339,Male,PhD,Yes,Yes,9.1,87.1,67.0,76.0,73.0,55.0,7.4,29.0,71.2
S0052,Female,High School,Yes,Yes,6.4,83.3,69.0,75.0,71.0,67.0,6.9,36.0,74.1
S0384,Male,Bachelor,Yes,No,4.3,80.7,54.0,56.0,68.0,56.0,,33.0,63.6
S0528,Female,Bachelor,Yes,Yes,6.3,67.6,61.0,78.0,64.0,56.0,7.1,73.0,64.8
S0939,Female,Bachelor,Yes,Yes,9.3,99.2,79.0,66.0,82.0,70.0,5.6,41.0,74.2
S0888,Male,Master,Yes,No,0.8,69.6,54.0,88.0,66.0,64.0,6.6,16.0,49.4
S0265,Female,Bachelor,Yes,Yes,6.1,100.0,62.0,82.0,73.0,70.0,8.2,18.0,75.4
S0550,Female,Bachelor,Yes,No,6.7,76.6,83.0,63.0,73.0,56.0,7.7,44.0,73.6
S0914,Female,Bachelor,Yes,No,4.3,68.0,63.0,48.0,55.0,55.0,7.4,2.0,52.3
S0698,Female,High School,Yes,No,4.8,86.8,50.0,73.0,61.0,64.0,7.6,31.0,57.0
S0396,Male,Bachelor,Yes,No,4.2,89.4,53.0,78.0,67.0,51.0,8.3,49.0,54.8
S0530,Male,Bachelor,Yes,Yes,4.9,84.1,64.0,57.0,75.0,76.0,3.8,21.0,62.9
S0869,Female,Master,No,Yes,5.3,72.0,60.0,62.0,64.0,55.0,8.4,36.0,60.3
S0019,Male,Bachelor,No,No,5.7,85.8,84.0,75.0,87.0,62.0,8.1,21.0,69.8
S0732,Male,Master,Yes,Yes,8.3,80.9,63.0,59.0,74.0,62.0,5.9,21.0,71.6
S0679,Male,,Yes,Yes,6.5,75.4,73.0,64.0,66.0,71.0,8.5,61.0,75.5
S0582,Female,High School,Yes,No,1.3,81.1,51.0,65.0,52.0,55.0,6.0,27.0,43.2
S0977,Female,Bachelor,Yes,No,5.9,83.3,72.0,60.0,60.0,73.0,5.7,33.0,69.4
S0368,Female,Master,Yes,No,3.4,68.9,46.0,79.0,61.0,60.0,5.8,25.0,48.8
S0084,Female,PhD,No,Yes,4.9,74.4,48.0,77.0,68.0,54.0,5.1,29.0,57.7
S0062,Female,High School,Yes,No,3.3,76.5,54.0,55.0,65.0,43.0,5.6,33.0,53.6
S0842,Male,Master,Yes,No,3.8,85.0,55.0,98.0,58.0,58.0,6.2,2.0,62.1
S0273,Female,Bachelor,Yes,No,5.5,79.7,75.0,66.0,73.0,61.0,8.2,40.0,71.2
S0286,Male,Master,Yes,No,6.4,77.6,57.0,80.0,56.0,42.0,7.6,20.0,59.7
S0361,Male,High School,Yes,No,0.5,79.5,61.0,54.0,75.0,67.0,4.9,4.0,49.5
S0355,Male,Bachelor,Yes,Yes,2.7,100.0,68.0,98.0,76.0,73.0,4.0,35.0,62.0
S0482,Male,High School,No,Yes,6.9,92.3,84.0,77.0,65.0,77.0,9.1,2.0,81.0
S0279,Male,High School,Yes,Yes,7.1,78.8,87.0,68.0,69.0,70.0,6.9,24.0,73.3
S0013,Male,Master,Yes,No,3.0,79.9,65.0,59.0,67.0,51.0,5.5,51.0,60.9
S0183,Male,Bachelor,No,No,3.3,91.0,61.0,62.0,58.0,72.0,6.6,15.0,59.4
S0369,Female,High School,No,No,4.3,84.7,78.0,63.0,63.0,53.0,8.4,37.0,75.5
S0600,Female,Bachelor,Yes,No,5.9,74.2,46.0,65.0,50.0,49.0,5.9,44.0,58.8
S0631,Female,High School,Yes,Yes,7.9,80.2,76.0,70.0,87.0,69.0,6.9,13.0,80.6
S0224,Female,Master,Yes,No,4.4,69.6,57.0,70.0,46.0,73.0,8.0,19.0,63.2
S0972,Male,PhD,Yes,Yes,2.3,79.7,54.0,65.0,59.0,59.0,6.9,6.0,59.3
S0715,Female,High School,Yes,No,5.1,74.9,60.0,68.0,67.0,55.0,6.1,46.0,64.4
S0778,Male,Bachelor,Yes,Yes,4.5,91.2,64.0,,41.0,64.0,7.9,18.0,57.1
S0558,Male,Bachelor,No,No,3.2,76.5,50.0,63.0,48.0,59.0,7.3,13.0,50.3
S0466,Female,Master,No,No,5.9,82.9,61.0,54.0,67.0,57.0,6.3,22.0,64.3
S0598,Female,PhD,Yes,Yes,7.3,91.8,71.0,77.0,74.0,63.0,8.7,12.0,77.9
S0708,Female,Bachelor,No,No,,81.6,94.0,78.0,60.0,68.0,,27.0,72.8
S0177,Female,Bachelor,Yes,No,8.9,88.8,80.0,68.0,66.0,85.0,8.7,14.0,77.5
S0681,Male,High School,Yes,Yes,5.2,,80.0,82.0,77.0,60.0,7.0,12.0,75.2
S0854,Female,Bachelor,Yes,No,5.6,82.7,54.0,77.0,76.0,74.0,6.8,2.0,67.3
S0955,Male,Bachelor,Yes,No,6.7,95.1,57.0,69.0,64.0,50.0,5.9,39.0,67.5
S0457,Male,Bachelor,No,Yes,9.0,100.0,69.0,63.0,68.0,85.0,4.9,17.0,74.3
S0533,Female,PhD,Yes,No,3.7,77.2,64.0,56.0,48.0,68.0,9.0,25.0,56.5
S0394,Female,High School,Yes,Yes,6.9,65.3,72.0,62.0,74.0,65.0,7.6,26.0,70.9
S0164,Male,PhD,Yes,Yes,5.9,80.0,53.0,65.0,56.0,51.0,6.2,45.0,61.6
S0249,Female,High School,Yes,Yes,5.1,100.0,100.0,80.0,89.0,100.0,6.9,44.0,85.9
S0650,Male,Bachelor,Yes,No,2.7,70.7,70.0,60.0,55.0,45.0,7.6,24.0,64.9
S0903,Female,Bachelor,Yes,Yes,8.3,63.2,77.0,85.0,59.0,68.0,7.0,38.0,80.6
S0685,Female,High School,Yes,No,5.8,90.9,60.0,63.0,54.0,52.0,7.3,18.0,67.5
S0376,Female,High School,Yes,No,10.8,83.0,96.0,71.0,77.0,79.0,6.7,33.0,85.5
S0413,Male,Master,Yes,Yes,2.2,80.9,58.0,58.0,65.0,61.0,6.0,52.0,51.0
S0075,Male,Bachelor,Yes,Yes,8.3,72.2,73.0,64.0,66.0,72.0,7.9,29.0,72.8
S0114,Female,Master,Yes,Yes,5.0,72.2,48.0,47.0,64.0,44.0,6.7,38.0,63.1
S0584,Male,High School,Yes,Yes,4.8,66.8,55.0,55.0,67.0,45.0,,13.0,53.7
S0573,Male,PhD,Yes,No,6.1,86.8,66.0,67.0,57.0,62.0,7.8,9.0,67.4
S0391,Male,High School,Yes,No,,56.5,35.0,66.0,49.0,29.0,18.7,27.0,40.8
S0105,Male,Bachelor,Yes,No,5.0,64.9,66.0,69.0,52.0,68.0,8.7,58.0,65.0
S0115,Female,Master,No,No,5.1,95.4,65.0,86.0,58.0,72.0,5.8,35.0,65.9
S0418,Male,Master,Yes,No,4.6,91.8,57.0,,78.0,65.0,7.2,34.0,68.1
S0669,Male,High School,Yes,No,2.5,77.0,62.0,85.0,59.0,52.0,8.8,18.0,58.4
S0458,Female,High School,Yes,Yes,4.0,83.8,56.0,51.0,71.0,45.0,6.2,31.0,63.0
S0410,Male,Master,Yes,Yes,4.3,68.3,64.0,62.0,38.0,48.0,6.4,32.0,51.7
S0093,Male,High School,Yes,No,4.8,85.5,65.0,72.0,57.0,64.0,5.7,18.0,65.5
S0820,Male,Bachelor,Yes,No,3.9,71.9,47.0,56.0,65.0,45.0,6.5,40.0,56.4
S0090,Male,Bachelor,Yes,No,3.2,88.3,77.0,,63.0,61.0,7.2,30.0,57.1
S0337,Male,Bachelor,Yes,Yes,6.6,91.5,58.0,52.0,60.0,33.0,8.1,39.0,72.2
S0860,Female,Bachelor,Yes,Yes,6.5,78.4,84.0,72.0,64.0,73.0,9.3,20.0,69.0
S0940,Female,Bachelor,Yes,No,7.2,,78.0,80.0,77.0,73.0,6.2,9.0,74.3
S0952,Male,Master,Yes,No,4.0,88.8,70.0,87.0,70.0,84.0,8.2,33.0,74.7
S0884,Male,High School,Yes,Yes,4.0,90.0,50.0,,60.0,42.0,5.4,18.0,55.1
S0621,Female,Master,Yes,Yes,4.9,74.2,73.0,76.0,58.0,56.0,6.3,32.0,66.0
S0790,Male,High School,Yes,Yes,6.7,92.6,68.0,57.0,60.0,78.0,6.6,31.0,65.2
S0627,Male,High School,No,Yes,3.9,68.5,57.0,80.0,55.0,47.0,7.9,27.0,55.8
S0095,Female,Bachelor,Yes,Yes,1.3,58.9,56.0,75.0,48.0,55.0,7.8,46.0,50.1
S0012,Male,High School,,No,5.5,90.4,81.0,80.0,82.0,59.0,4.9,15.0,76.4
S0397,Male,Bachelor,Yes,No,5.1,100.0,55.0,73.0,76.0,68.0,6.0,22.0,66.1
S0546,Female,Bachelor,Yes,Yes,5.2,75.6,67.0,86.0,63.0,59.0,8.4,28.0,69.7
S0044,Female,PhD,Yes,No,3.8,83.6,55.0,84.0,67.0,58.0,6.4,38.0,64.1
S0043,Female,Master,No,Yes,6.2,73.2,51.0,60.0,71.0,66.0,7.4,27.0,67.1
S0168,Male,Bachelor,Yes,No,7.7,84.5,62.0,68.0,68.0,61.0,7.5,45.0,70.0
S0417,Male,High School,Yes,No,7.1,98.5,57.0,80.0,53.0,70.0,7.4,8.0,72.7
S0877,Female,PhD,Yes,Yes,4.4,76.8,52.0,76.0,63.0,58.0,6.3,33.0,60.9
S0427,Female,Bachelor,No,Yes,4.4,83.8,85.0,75.0,78.0,73.0,7.8,32.0,71.1
S0900,Female,Bachelor,Yes,No,4.5,85.3,50.0,49.0,47.0,56.0,7.9,40.0,56.9
S0981,Female,Master,Yes,Yes,7.9,83.0,63.0,80.0,71.0,67.0,7.4,19.0,74.7
S0976,Female,Bachelor,No,No,1.0,70.9,41.0,65.0,54.0,64.0,5.0,30.0,41.3
S0688,Female,Bachelor,Yes,Yes,4.8,83.1,77.0,65.0,75.0,96.0,6.4,41.0,71.3
